JV-1010 XP-A(Session1)				
				
PC	MSB	LSB	Name	Category
109	84	0	JP6 Sqr Key	SYN (OTHER SYNTH)
110	84	0	Square drops	SYN (OTHER SYNTH)
111	84	0	Celestial	BEL (BELL)
112	84	0	Heavenly Eko	BEL (BELL)
113	84	0	JD-800 Nomad	BEL (BELL)
114	84	0	Vibrolater	BEL (BELL)
115	84	0	MartianChime	BEL (BELL)
116	84	0	Big Wet Blip	BEL (BELL)
117	84	0	Amazing Echo	SYN (OTHER SYNTH)
118	84	0	DelaySession	FX (SYNTH FX)
119	84	0	Deletex	AGT (AC.GUITAR)
120	84	0	Tarlia	BEL (BELL)
121	84	0	Mahoroba	BPD (BRIGHT PAD)
122	84	0	Eurotek Clav	HLD (HARD LEAD)
123	84	0	Dope Resoclv	TEK (TECHNO SYNTH)
124	84	0	Tekno Juno	TEK (TECHNO SYNTH)
125	84	0	Buzzzzzzzzzz	HLD (HARD LEAD)
126	84	0	Slop-a-rama	SYN (OTHER SYNTH)
127	84	0	Isn't Pretty	SYN (OTHER SYNTH)
128	84	0	Polywasp	SYN (OTHER SYNTH)
