JV-1010 XP-A(Session1)				
				
PC	MSB	LSB	Name	Category
				
1	84	0	St.Concert	PNO (AC.PIANO)
2	84	0	9ft.Grand 1	PNO (AC.PIANO)
3	84	0	9ft.Grand 2	PNO (AC.PIANO)
4	84	0	Euro Classic	PNO (AC.PIANO)
5	84	0	St.Pno & Str	PNO (AC.PIANO)
6	84	0	Compress Pno	PNO (AC.PIANO)
7	84	0	LA Session	PNO (AC.PIANO)
8	84	0	Water Piano	PNO (AC.PIANO)
9	84	0	Vibra Rhodes	EP (EL.PIANO)
10	84	0	Stack Rhodes	EP (EL.PIANO)
11	84	0	ArcoEnsemble	STR (STRINGS)
12	84	0	Vienna Strgs	STR (STRINGS)
13	84	0	Str Adagio	STR (STRINGS)
14	84	0	Oct Strings	STR (STRINGS)
15	84	0	Silky Filter	STR (STRINGS)
16	84	0	Soft Strings	STR (STRINGS)
17	84	0	SlowStr.Sect	STR (STRINGS)
18	84	0	GiantStrings	STR (STRINGS)
19	84	0	Str+Choir 1	STR (STRINGS)
20	84	0	Str+Choir 2	STR (STRINGS)
21	84	0	Str+Choir 3	VOX (VOX)
22	84	0	Breathy Humz	VOX (VOX)
23	84	0	Dream Voices	VOX (VOX)
24	84	0	Mmmms	VOX (VOX)
25	84	0	Chorale	VOX (VOX)
26	84	0	Space Men	VOX (VOX)
27	84	0	Choir Mm+Aah	VOX (VOX)
28	84	0	Ivory Mist	VOX (VOX)
29	84	0	PercussiVox	VOX (VOX)
30	84	0	Mysteriouso	VOX (VOX)
31	84	0	Phase Mmhs	VOX (VOX)
32	84	0	AmbientStory	VOX (VOX)
33	84	0	Venus	VOX (VOX)
34	84	0	SessionBrass	BRS (AC.BRASS)
35	84	0	Port.Tpts	BRS (AC.BRASS)
36	84	0	R&R Brass	BRS (AC.BRASS)
37	84	0	Echo Brass	BRS (AC.BRASS)
38	84	0	E.Coast Brs	BRS (AC.BRASS)
39	84	0	Bop Soli	BRS (AC.BRASS)
40	84	0	Soft Saxes	SAX (SAX)
41	84	0	Orchestral	BRS (AC.BRASS)
42	84	0	Octalog Hrn	SBR (SYNTH BRASS)
43	84	0	Tpt Soloist	BRS (AC.BRASS)
44	84	0	Legato Tpt	BRS (AC.BRASS)
45	84	0	Dyno Trumpet	BRS (AC.BRASS)
46	84	0	Ethno-Trumps	BRS (AC.BRASS)
47	84	0	Super Tenor	SAX (SAX)
48	84	0	TenorExpress	SAX (SAX)
49	84	0	T.Sax f	SAX (SAX)
50	84	0	Legato Flute	FLT (FLUTE)
51	84	0	Touch Flute	FLT (FLUTE)
52	84	0	NewAge Flute	FLT (FLUTE)
53	84	0	Flute inMist	FLT (FLUTE)
54	84	0	Hybrid Flute	FLT (FLUTE)
55	84	0	Flute & Cla	FLT (FLUTE)
56	84	0	ChristmasFlt	FLT (FLUTE)
57	84	0	Fifth Flute	FLT (FLUTE)
58	84	0	Cosmic Flute	FLT (FLUTE)
59	84	0	Acc.de Paris	ACD (ACCORDION)
60	84	0	Paris 50's	ACD (ACCORDION)
61	84	0	Musette Ens	ACD (ACCORDION)
62	84	0	Montmartre	ACD (ACCORDION)
63	84	0	Sad Akordion	ACD (ACCORDION)
64	84	0	Fr.Accordion	ACD (ACCORDION)
65	84	0	Fr.Accord 2	ACD (ACCORDION)
66	84	0	Troubadour	AGT (AC.GUITAR)
67	84	0	SessionNylon	AGT (AC.GUITAR)
68	84	0	Solo Nylon 1	AGT (AC.GUITAR)
69	84	0	Solo Nylon 2	AGT (AC.GUITAR)
70	84	0	Nylon & Str	AGT (AC.GUITAR)
71	84	0	Nylon & Flt	AGT (AC.GUITAR)
72	84	0	Nylon Chord	AGT (AC.GUITAR)
73	84	0	Stratar	EGT (EL.GUITAR)
74	84	0	Clean Tele	EGT (EL.GUITAR)
75	84	0	Nashville	EGT (EL.GUITAR)
76	84	0	Super Trem	EGT (EL.GUITAR)
77	84	0	SpaghettiGtr	EGT (EL.GUITAR)
78	84	0	Duanne'sTone	EGT (EL.GUITAR)
79	84	0	Big Hair Ld	DGT (DIST.GUITAR)
80	84	0	Metal Solo	DGT (DIST.GUITAR)
81	84	0	Crunch Tone	DGT (DIST.GUITAR)
82	84	0	Overdriven	DGT (DIST.GUITAR)
83	84	0	Blues Tele	DGT (DIST.GUITAR)
84	84	0	Tube Double	DGT (DIST.GUITAR)
85	84	0	Neil's Rust	DGT (DIST.GUITAR)
86	84	0	Short Crunch	DGT (DIST.GUITAR)
87	84	0	X-Fade Metal	DGT (DIST.GUITAR)
88	84	0	Velo Power	DGT (DIST.GUITAR)
89	84	0	Phazy Chunk	DGT (DIST.GUITAR)
90	84	0	Reso Tele	EGT (EL.GUITAR)
91	84	0	Wah Wah BPM	EGT (EL.GUITAR)
92	84	0	Rock P.Bass1	BS (BASS)
93	84	0	Rock P.Bass2	BS (BASS)
94	84	0	Rock P.Bass3	BS (BASS)
95	84	0	Big Jazz Bs	BS (BASS)
96	84	0	BriteJazz Bs	BS (BASS)
97	84	0	Ch.Jazz Bs	BS (BASS)
98	84	0	Mellow Jz Bs	BS (BASS)
99	84	0	Mute E.Bs	BS (BASS)
100	84	0	Octabahn Bs	BS (BASS)
101	84	0	Slobbery Bs	SBS (SYNTH BASS)
102	84	0	Phase Worm	SBS (SYNTH BASS)
103	84	0	Euro Rave Bs	SBS (SYNTH BASS)
104	84	0	Pumpin' Bs	SBS (SYNTH BASS)
105	84	0	Tech NoBase	SBS (SYNTH BASS)
106	84	0	Bad Acid Bs	SBS (SYNTH BASS)
107	84	0	CheepEcho Bs	SBS (SYNTH BASS)
108	84	0	Manic Bs	SBS (SYNTH BASS)
